State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured
2,164,Lake and Peninsula,Alaska,AK,83,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,395.0
2,170,Matanuska-Susitna,Alaska,AK,77,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,9561.0
2,180,Nome,Alaska,AK,83,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,1795.0
2,185,North Slope,Alaska,AK,80,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,1202.0
2,188,Northwest Arctic,Alaska,AK,83,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,1291.0
2,201,Prince of Wales-Outer Ketchikan,Alaska,AK,80,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,1176.0
2,220,Sitka,Alaska,AK,78,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,1093.0
2,232,Skagway-Hoonah-Angoon,Alaska,AK,80,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,598.0
2,240,Southeast Fairbanks,Alaska,AK,80,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,1306.0
2,261,Valdez-Cordova,Alaska,AK,78,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,1551.0
2,270,Wade Hampton,Alaska,AK,88,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,2244.0
2,280,Wrangell-Petersburg,Alaska,AK,78,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,1015.0
2,282,Yakutat,Alaska,AK,78,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,114.0
2,290,Yukon-Koyukuk,Alaska,AK,83,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,1300.0
4,1,Apache,Arizona,AZ,77,22.6,64.6,24.6,18.4,14.3,7.5,17218.0
4,3,Cochise,Arizona,AZ,7,22.8,72.7,23.8,26.0,20.2,9.1,23944.0
4,5,Coconino,Arizona,AZ,77,14.8,71.0,16.5,17.2,19.6,4.2,22678.0
4,7,Gila,Arizona,AZ,36,32.7,74.2,24.5,34.5,25.6,8.8,10361.0
4,9,Graham,Arizona,AZ,51,25.8,79.4,23.8,24.9,16.1,10.9,6343.0
4,11,Greenlee,Arizona,AZ,78,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,5.0,1082.0
4,12,La Paz,Arizona,AZ,88,26.6,83.4,22.0,26.48094612352162,18.1,8.3,4885.0
4,13,Maricopa,Arizona,AZ,1,23.3,74.7,19.9,21.4,19.9,6.3,537647.0
4,15,Mohave,Arizona,AZ,6,27.9,77.6,25.0,30.6,29.4,7.5,31916.0
4,17,Navajo,Arizona,AZ,8,23.7,75.4,25.1,27.1,19.8,8.8,22206.0
4,19,Pima,Arizona,AZ,3,20.9,70.7,19.7,23.8,18.7,6.6,149746.0
4,21,Pinal,Arizona,AZ,7,26.9,73.8,26.7,28.3,21.8,10.6,33439.0
4,23,Santa Cruz,Arizona,AZ,51,36.9,66.8,20.0,20.4,18.1,7.0,11544.0
4,25,Yavapai,Arizona,AZ,16,23.4,69.3,16.0,28.5,21.9,5.7,28886.0
4,27,Yuma,Arizona,AZ,7,26.7,73.5,25.7,26.8,16.2,9.2,45336.0
5,1,Arkansas,Arkansas,AR,75,35.1,79.3,30.7,26.48094612352162,29.2,7.8,2858.0
5,3,Ashley,Arkansas,AR,68,35.0,88.8,30.2,28.9,29.7,7.7,3783.0
5,5,Baxter,Arkansas,AR,50,24.9,71.9,22.7,33.8,25.4,10.2,5191.0
5,7,Benton,Arkansas,AR,13,22.3,77.4,21.5,25.4,21.4,5.8,22708.0
5,9,Boone,Arkansas,AR,49,31.4,77.9,23.7,30.4,25.1,6.7,5033.0
5,11,Bradley,Arkansas,AR,70,30.9,83.9,25.2,26.48094612352162,23.7,8.5,2467.0
5,13,Calhoun,Arkansas,AR,43,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,3.5,846.0
5,15,Carroll,Arkansas,AR,64,28.7,75.7,21.0,26.48094612352162,28.5,5.1,5529.0
5,17,Chicot,Arkansas,AR,67,33.5,78.92316176470604,21.9,26.48094612352162,27.4,15.6,3200.0
5,19,Clark,Arkansas,AR,71,30.0,75.0,20.8,27.3,16.2,6.3,3575.0
5,21,Clay,Arkansas,AR,63,39.1,76.8,29.7,26.48094612352162,34.6,10.2,2567.0
5,23,Cleburne,Arkansas,AR,64,29.4,72.7,25.1,34.5,21.9,8.6,3723.0
5,25,Cleveland,Arkansas,AR,41,26.50838621940164,78.92316176470604,26.8,26.48094612352162,25.2,11.3,1173.0
5,27,Columbia,Arkansas,AR,35,27.5,84.6,23.8,26.48094612352162,23.2,9.2,3610.0
5,29,Conway,Arkansas,AR,43,29.9,87.2,26.5,32.7,32.2,4.9,3085.0
5,31,Craighead,Arkansas,AR,22,29.9,77.7,29.1,27.3,25.1,6.2,11601.0
5,33,Crawford,Arkansas,AR,33,27.5,82.6,21.1,27.5,27.5,5.8,9011.0
5,35,Crittenden,Arkansas,AR,53,29.1,83.0,30.0,33.6,25.0,11.5,10083.0
5,37,Cross,Arkansas,AR,68,35.8,79.1,30.2,26.48094612352162,32.8,9.6,3311.0
5,39,Dallas,Arkansas,AR,74,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,14.8,14.7,1540.0
5,41,Desha,Arkansas,AR,67,26.50838621940164,78.92316176470604,27.5,26.48094612352162,21.5,10.3,3217.0
5,43,Drew,Arkansas,AR,67,28.3,80.3,21.6,26.48094612352162,28.2,4.5,3227.0
