State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured
5,23,Cleburne,Arkansas,AR,64,29.4,72.7,25.1,34.5,21.9,8.6,3723
5,25,Cleveland,Arkansas,AR,41,31.264062500000005,80.21016949152543,26.8,28.803124999999998,25.2,11.3,1173
5,27,Columbia,Arkansas,AR,35,27.5,84.6,23.8,28.803124999999998,23.2,9.2,3610
5,29,Conway,Arkansas,AR,43,29.9,87.2,26.5,32.7,32.2,4.9,3085
5,31,Craighead,Arkansas,AR,22,29.9,77.7,29.1,27.3,25.1,6.2,11601
5,33,Crawford,Arkansas,AR,33,27.5,82.6,21.1,27.5,27.5,5.8,9011
5,35,Crittenden,Arkansas,AR,53,29.1,83.0,30.0,33.6,25.0,11.5,10083
5,37,Cross,Arkansas,AR,68,35.8,79.1,30.2,28.803124999999998,32.8,9.6,3311
5,39,Dallas,Arkansas,AR,74,31.264062500000005,80.21016949152543,25.736363636363635,28.803124999999998,14.8,14.7,1540
5,41,Desha,Arkansas,AR,67,31.264062500000005,80.21016949152543,27.5,28.803124999999998,21.5,10.3,3217
5,43,Drew,Arkansas,AR,67,28.3,80.3,21.6,28.803124999999998,28.2,4.5,3227
5,45,Faulkner,Arkansas,AR,19,24.4,78.6,23.6,22.9,19.8,4.8,10687
5,47,Franklin,Arkansas,AR,43,28.7,85.3,27.4,17.5,31.7,4.7,2780
5,49,Fulton,Arkansas,AR,70,25.9,81.4,27.6,28.803124999999998,30.9,6.8,2113
5,51,Garland,Arkansas,AR,24,25.0,76.0,22.3,33.3,28.3,8.0,14158
5,53,Grant,Arkansas,AR,39,35.8,88.3,31.6,28.803124999999998,33.7,4.0,2038
5,55,Greene,Arkansas,AR,50,31.7,82.5,29.5,34.8,31.7,9.9,4636
5,57,Hempstead,Arkansas,AR,76,29.8,78.2,24.4,28.803124999999998,26.2,10.3,4943
5,59,Hot Spring,Arkansas,AR,49,32.2,79.4,28.1,35.5,22.1,9.3,4327
5,61,Howard,Arkansas,AR,43,34.2,80.21016949152543,26.1,28.803124999999998,25.9,12.7,2530
5,63,Independence,Arkansas,AR,32,30.8,78.8,26.9,31.6,26.0,7.2,4830
5,65,Izard,Arkansas,AR,71,34.6,78.0,28.5,28.803124999999998,24.5,13.5,2219
5,67,Jackson,Arkansas,AR,72,41.3,85.6,31.0,28.803124999999998,24.4,8.1,3051
5,69,Jefferson,Arkansas,AR,8,29.1,81.8,27.4,34.0,23.3,9.8,13485
5,71,Johnson,Arkansas,AR,64,26.7,81.0,20.3,28.803124999999998,29.0,8.6,4420
5,73,Lafayette,Arkansas,AR,75,31.264062500000005,80.21016949152543,25.736363636363635,28.803124999999998,26.574626865671643,10.2,1636
5,75,Lawrence,Arkansas,AR,72,31.6,89.1,28.6,28.803124999999998,37.8,5.9,2836
5,77,Lee,Arkansas,AR,67,31.264062500000005,80.21016949152543,25.736363636363635,28.803124999999998,26.574626865671643,9.3,2555
5,79,Lincoln,Arkansas,AR,44,31.264062500000005,80.21016949152543,25.736363636363635,28.803124999999998,26.574626865671643,9.3,1984
5,81,Little River,Arkansas,AR,42,25.9,80.21016949152543,22.1,28.803124999999998,33.7,6.7,2411
5,83,Logan,Arkansas,AR,76,34.5,80.3,29.5,28.803124999999998,34.3,8.1,3218
5,85,Lonoke,Arkansas,AR,29,27.8,81.5,23.2,21.1,29.5,6.3,7148
5,87,Madison,Arkansas,AR,43,28.3,76.4,22.4,28.803124999999998,31.5,4.0,2855
5,89,Marion,Arkansas,AR,71,30.3,76.4,23.1,26.1,28.4,8.3,2906
5,91,Miller,Arkansas,AR,52,34.0,80.5,31.0,27.5,28.1,9.7,7040
5,93,Mississippi,Arkansas,AR,8,42.5,81.6,29.3,33.0,28.5,7.0,10149
5,95,Monroe,Arkansas,AR,75,31.264062500000005,80.21016949152543,25.736363636363635,28.803124999999998,26.574626865671643,8.3,2198
5,97,Montgomery,Arkansas,AR,70,31.264062500000005,82.0,14.0,28.803124999999998,23.7,11.5,1862
5,99,Nevada,Arkansas,AR,75,32.2,80.21016949152543,25.736363636363635,28.803124999999998,26.4,1.9,1614
5,101,Newton,Arkansas,AR,74,26.5,80.21016949152543,29.2,28.803124999999998,30.1,5.8,1734
5,103,Ouachita,Arkansas,AR,36,33.4,80.7,27.6,37.0,22.6,6.6,4306
5,105,Perry,Arkansas,AR,62,33.2,80.21016949152543,28.2,28.803124999999998,26.574626865671643,12.3,1536
5,107,Phillips,Arkansas,AR,51,45.2,79.6,28.9,28.803124999999998,20.9,8.8,6274
5,109,Pike,Arkansas,AR,62,30.8,81.0,23.5,28.803124999999998,26.574626865671643,2.9,2042
5,111,Poinsett,Arkansas,AR,76,42.5,79.9,29.7,28.803124999999998,42.6,12.4,4594
5,113,Polk,Arkansas,AR,71,30.2,74.5,24.8,32.4,21.9,7.9,4393
