State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,Pop_proportion,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured
27,11,Big Stone,Minnesota,MN,5481,10.1,21.799999999999997,54.3,20.0,4.0,98.79999999999998,0.2,0.5,0.4,0.5,0.0018491253768541807,17.88333333333334,78.12142857142857,22.79230769230769,23.18611111111111,20.931578947368426,6.062162162162164,11.48
27,13,Blue Earth,Minnesota,MN,58030,10.3,23.2,64.9,9.6,2.3,94.5,2.1,0.3,2.3,1.8,0.019577585407562145,15.4,78.5,23.2,24.2,21.2,5.5,7.62
27,15,Brown,Minnesota,MN,26534,7.1,23.300000000000008,59.0,14.2,3.4000000000000004,98.9,0.30000000000000004,0.1,0.49999999999999994,2.5,0.008951777549616647,17.9,80.3,26.0,23.18611111111111,27.8,10.0,6.58
27,17,Carlton,Minnesota,MN,34026,8.1,22.9,62.5,12.3,2.2999999999999994,91.8,1.2000000000000002,5.3999999999999995,0.3999999999999999,1.0,0.011479354145747191,14.7,75.0,19.9,23.18611111111111,27.9,7.6,8.31
27,19,Carver,Minnesota,MN,84864,4.0,28.5,64.1,6.2,1.2,95.5,1.1,0.19999999999999996,2.4,3.3000000000000003,0.02863057397944777,12.6,77.7,22.0,16.2,14.9,2.3,5.1
27,21,Cass,Minnesota,MN,28910,11.7,22.2,59.4,15.899999999999999,2.4,87.6,0.2,10.8,0.3,1.1000000000000003,0.009753368845986932,18.8,75.2,26.8,34.2,22.2,7.6,14.25
27,23,Chippewa,Minnesota,MN,12802,8.5,23.6,57.5,14.799999999999999,4.199999999999999,98.1,0.2,0.9000000000000001,0.4,3.8,0.004319011690291411,17.88333333333334,78.12142857142857,22.79230769230769,23.18611111111111,20.931578947368426,7.9,10.02
27,25,Chisago,Minnesota,MN,49400,5.5,26.8,63.8,8.0,1.4,96.1,1.1000000000000005,0.6,1.4,1.6,0.016666081666957953,17.3,85.3,24.6,22.6,26.3,5.2,6.52
27,27,Clay,Minnesota,MN,53838,9.9,25.5,62.10000000000001,9.899999999999999,2.5,95.40000000000002,0.7,1.6,1.2000000000000002,3.2,0.01816333005639033,20.5,81.6,22.5,21.2,20.6,3.9,9.17
27,29,Clearwater,Minnesota,MN,8476,12.9,24.299999999999994,58.600000000000016,14.3,2.7,89.29999999999998,0.30000000000000004,8.899999999999999,0.30000000000000004,0.8999999999999999,0.0028595487491727854,17.88333333333334,78.12142857142857,22.79230769230769,23.18611111111111,20.931578947368426,4.0,15.93
27,31,Cook,Minnesota,MN,5367,7.1,18.0,63.800000000000004,15.5,2.700000000000001,90.8,0.4,7.1000000000000005,0.4,1.1,0.0018106651883919701,17.88333333333334,78.12142857142857,22.79230769230769,23.18611111111111,20.931578947368426,6.062162162162164,9.02
