State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic
17,69,Hardin,Illinois,IL,4718,698.2640000000001,948.318,2906.288,750.1619999999999,108.514,4581.178,103.796,0.0,28.307999999999996,56.61599999999999
17,71,Henderson,Illinois,IL,7972,813.1439999999999,1682.092,4910.752,1235.66,143.496,7900.2519999999995,23.916,7.972,7.972,71.748
17,73,Henry,Illinois,IL,50591,4199.053000000001,12192.431,30202.827,6728.603,1467.139,49275.634000000005,657.683,50.591,202.364,1720.094
17,75,Iroquois,Illinois,IL,30677,3037.0229999999997,7454.5109999999995,17669.952,4632.227,920.31,29971.429,306.77,92.031,153.385,1472.496
17,77,Jackson,Illinois,IL,57954,11185.122,12691.926,38771.226,5331.767999999999,1159.08,47058.648,7302.204000000001,173.862,2492.022,1680.6660000000002
17,79,Jasper,Illinois,IL,10020,1012.02,2494.98,5871.72,1372.74,280.56,9959.88,20.04,10.02,20.04,60.12
17,81,Jefferson,Illinois,IL,40434,5539.458,9663.726,24664.74,5054.25,1051.284,36309.731999999996,3396.456,40.434,283.038,606.51
17,83,Jersey,Illinois,IL,22456,1886.3039999999999,5389.44,13765.528,2829.4559999999997,449.12,21984.424,224.56,22.456,89.824,202.104
17,85,Jo Daviess,Illinois,IL,22580,1716.08,4945.0199999999995,13299.62,3703.1199999999994,632.2399999999999,22309.04,90.32,45.16,45.16,541.92
17,87,Johnson,Illinois,IL,13169,1672.463,2581.1240000000003,8783.723,1593.4489999999998,210.704,11443.861,1619.787,26.338,39.507,395.07
17,89,Kane,Illinois,IL,482113,35676.362,146562.35199999998,296499.495,33747.91,5303.243,433419.58700000006,26998.327999999998,1928.4520000000002,13981.277,131616.84900000002
17,91,Kankakee,Illinois,IL,107972,12200.836000000001,29476.356,64567.255999999994,12092.864,1835.524,89184.87199999999,16411.744,215.94400000000002,971.748,6910.2080000000005
17,93,Kendall,Illinois,IL,79514,3260.0739999999996,22025.377999999997,51207.016,5406.951999999999,874.6540000000001,74425.10399999999,2464.9339999999997,159.02800000000002,1510.766,10018.764000000001
17,95,Knox,Illinois,IL,53309,6770.2429999999995,12207.760999999999,31718.855,7943.041,1439.343,48297.954,3838.248,106.61800000000001,426.47200000000004,2025.7419999999997
17,97,Lake,Illinois,IL,702682,48485.058,208696.55399999997,431446.74799999996,56214.56,7026.82,603603.838,47782.376,2108.0460000000003,38647.51,126482.76
17,99,La Salle,Illinois,IL,112604,11485.607999999998,27925.792,66774.17199999999,14863.727999999997,3040.3080000000004,109000.67199999999,1914.2679999999998,225.20800000000003,788.2279999999998,7206.656000000001
